Deal Unique Id,"From Currency ISO Code ""Ordering Currency""",To Currency ISO Code,Deal timestamp,Deal Amount in ordering currency
60001,COP,BOB,2017-10-25 08:17:09 -0400,9942.56
60002,JPY,XOF,2017-10-25 08:17:09 -0400,5697.28
60003,RUB,USD,2017-10-25 08:17:09 -0400,1368.78
60004,CNY,CNY,2017-10-25 08:17:09 -0400,5323.79
60005,CNY,CNY,2017-10-25 08:17:09 -0400,1469.51
60006,CNY,CNY,2017-10-25 08:17:09 -0400,5477.39
60007,PLN,EUR,2017-10-25 08:17:09 -0400,9225.57
60008,RUB,IDR,2017-10-25 08:17:09 -0400,8130.33
60009,AOA,IDR,2017-10-25 08:17:09 -0400,8733.22
60010,JOD,PHP,2017-10-25 08:17:09 -0400,8456.44
60011,PEN,HNL,2017-10-25 08:17:09 -0400,2196.78
60012,USD,MYR,2017-10-25 08:17:09 -0400,3464.22
60013,PKR,NPR,2017-10-25 08:17:09 -0400,7059.78
60014,IDR,CNY,2017-10-25 08:17:09 -0400,2414.2
60015,PHP,CZK,2017-10-25 08:17:09 -0400,9339.53
60016,IDR,PLN,2017-10-25 08:17:09 -0400,1417.43
60017,RUB,PKR,2017-10-25 08:17:09 -0400,5113.21
60018,EUR,RUB,2017-10-25 08:17:09 -0400,7125.95
60019,PEN,CRC,2017-10-25 08:17:09 -0400,4098.43
60020,PHP,PHP,2017-10-25 08:17:09 -0400,5139.86
60021,CNY,SEK,2017-10-25 08:17:09 -0400,5858.37
60022,CNY,RUB,2017-10-25 08:17:09 -0400,3667.13
60023,DKK,SYP,2017-10-25 08:17:09 -0400,3329.38
60024,CNY,EUR,2017-10-25 08:17:09 -0400,8143.81
60025,PHP,EUR,2017-10-25 08:17:09 -0400,7696.21
60026,CNY,SEK,2017-10-25 08:17:09 -0400,4822.66
60027,CNY,EUR,2017-10-25 08:17:09 -0400,530.19
60028,CNY,CAD,2017-10-25 08:17:09 -0400,7360.37
60029,IDR,RUB,2017-10-25 08:17:09 -0400,5464.49
60030,BRL,RUB,2017-10-25 08:17:09 -0400,8567.27
60031,USD,CZK,2017-10-25 08:17:09 -0400,4784.97
60032,UAH,USD,2017-10-25 08:17:09 -0400,8889.78
60033,THB,PEN,2017-10-25 08:17:09 -0400,3161.58
60034,EUR,EUR,2017-10-25 08:17:09 -0400,6871.02
60035,PHP,JPY,2017-10-25 08:17:09 -0400,324.1
60036,CNY,SYP,2017-10-25 08:17:09 -0400,1533.25
60037,CNY,IDR,2017-10-25 08:17:09 -0400,7313.15
60038,CNY,BRL,2017-10-25 08:17:09 -0400,7911.19
60039,PEN,PHP,2017-10-25 08:17:09 -0400,8632.02
60040,MKD,CNY,2017-10-25 08:17:09 -0400,2534.56
60041,PHP,HRK,2017-10-25 08:17:09 -0400,6389.69
60042,EUR,CNY,2017-10-25 08:17:09 -0400,686.32
60043,ZAR,CNY,2017-10-25 08:17:09 -0400,9767.01
60044,NZD,GBP,2017-10-25 08:17:09 -0400,306.31
60045,NGN,IDR,2017-10-25 08:17:09 -0400,1014.27
60046,IDR,JPY,2017-10-25 08:17:09 -0400,1243.12
60047,SEK,CNY,2017-10-25 08:17:09 -0400,8274.82
60048,CNY,BGN,2017-10-25 08:17:09 -0400,3632.73
60049,HRK,CNY,2017-10-25 08:17:09 -0400,9851.9
60050,USD,EUR,2017-10-25 08:17:09 -0400,6150.8
60051,CNY,EUR,2017-10-25 08:17:09 -0400,7354.11
60052,RUB,PKR,2017-10-25 08:17:09 -0400,9055.13
60053,RUB,EUR,2017-10-25 08:17:09 -0400,7072.95
60054,CNY,NOK,2017-10-25 08:17:09 -0400,9281.59
60055,CZK,BGN,2017-10-25 08:17:09 -0400,9303.85
60056,CNY,MXN,2017-10-25 08:17:09 -0400,3676.46
60057,MAD,EUR,2017-10-25 08:17:09 -0400,937.14
60058,JPY,EUR,2017-10-25 08:17:09 -0400,9987.78
60059,CNY,CAD,2017-10-25 08:17:09 -0400,5431.85
60060,USD,PLN,2017-10-25 08:17:09 -0400,6221.32
60061,SEK,XCD,2017-10-25 08:17:09 -0400,7671.95
60062,ZMW,MXN,2017-10-25 08:17:09 -0400,1444.55
60063,RUB,HRK,2017-10-25 08:17:09 -0400,7172.18
60064,BYR,CNY,2017-10-25 08:17:09 -0400,8784.03
60065,BRL,MNT,2017-10-25 08:17:09 -0400,5178.71
60066,IQD,GHS,2017-10-25 08:17:09 -0400,7829.47
60067,UAH,CNY,2017-10-25 08:17:09 -0400,375.05
60068,CNY,HRK,2017-10-25 08:17:09 -0400,2468.06
60069,PHP,EUR,2017-10-25 08:17:09 -0400,1831.55
60070,RUB,PHP,2017-10-25 08:17:09 -0400,7109.49
60071,RUB,AFN,2017-10-25 08:17:09 -0400,9804.45
60072,EUR,PEN,2017-10-25 08:17:09 -0400,3026.85
60073,CNY,IDR,2017-10-25 08:17:09 -0400,5430.89
60074,JPY,BRL,2017-10-25 08:17:09 -0400,166.26
60075,CNY,PHP,2017-10-25 08:17:09 -0400,5447.52
60076,PLN,EUR,2017-10-25 08:17:09 -0400,5178.88
60077,PKR,IDR,2017-10-25 08:17:09 -0400,1981.8
60078,SEK,PEN,2017-10-25 08:17:09 -0400,9652.76
60079,RUB,CNY,2017-10-25 08:17:09 -0400,790.89
60080,HRK,CNY,2017-10-25 08:17:09 -0400,9768.44
60081,EGP,BRL,2017-10-25 08:17:09 -0400,7647.14
60082,CNY,BRL,2017-10-25 08:17:09 -0400,8053.09
60083,CNY,MXN,2017-10-25 08:17:09 -0400,8845.11
60084,RUB,IDR,2017-10-25 08:17:09 -0400,2310.25
60085,CNY,IRR,2017-10-25 08:17:09 -0400,5088.48
60086,CNY,BRL,2017-10-25 08:17:09 -0400,4913.86
60087,MGA,ARS,2017-10-25 08:17:09 -0400,1247.55
60088,COP,CNY,2017-10-25 08:17:09 -0400,9030.63
60089,IDR,NGN,2017-10-25 08:17:09 -0400,8756.69
60090,COP,CNY,2017-10-25 08:17:09 -0400,2298.41
60091,CNY,EUR,2017-10-25 08:17:09 -0400,8303.69
60092,SDG,PHP,2017-10-25 08:17:09 -0400,3787.64
60093,EUR,CNY,2017-10-25 08:17:09 -0400,4282.44
60094,RUB,CNY,2017-10-25 08:17:09 -0400,2968.35
60095,MNT,CNY,2017-10-25 08:17:09 -0400,899.81
60096,HNL,PLN,2017-10-25 08:17:09 -0400,8385.04
60097,PLN,EUR,2017-10-25 08:17:09 -0400,2186.49
60098,RSD,NGN,2017-10-25 08:17:09 -0400,8694.37
60099,CNY,CNY,2017-10-25 08:17:09 -0400,667.51
